DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6,year
59,55,34,50,,,,,,8,,,,,R80,6.5,43,160,64,143,62.5,116,58,,,,,,,2019
59,55,34,50,,70,22,6,17.5,5,,,,,R81,9.5,78,156,68,142,64,122,59,,,,,,,2019
59,55,34,50,,16,18,5,7.5,9,,,,,R82,8,27,164,64.5,162,69,,,,,,,,,2019
59,55,34,50,,19,20,16.5,6.5,6,,,,,R83,5,24,144,63,143,62,,,,,,,,,2019
59,55,34,50,,,,,,34,11.5,5,,,R84,8.5,47,192,69.5,190,70,201,71.5,,,,,,,2019
59,55,34,50,,2,25,3.5,13,4.5,,,,,R85,7,44,175,65.5,150,72,122,58,,,,,,,2019
59,55,34,50,,,,,,16.5,,,,,R86,10,78,137,63,162,66,178,67,147,59,152,65,,,2019
59,55,34,24,19,12,10.5,2,,,,,,,R87,6,43,175,68,202,69,150,64,,,,,,,2019
59,55,34,24,,9,14,10,,,,,,,R88,7.5,43,148,64,140,62,209,71.5,,,,,,,2019
59,55,34,71,14,6.5,,,,,,,,,R89,8,46,151,71,191,70,170,67,,,,,,,2019
59,55,34,5,38,10.5,24,25,,,,,,,R90,15,109,203,68,214,73,211,69,212,69,,,,,2019
59,55,34,5,,,,,9,4.5,,,,,R91,7.5,62,265,72,196,70,201,71,190,68.5,,,,,2019
59,55,34,5,,,,,,12,24,8,6.5,6,R92,6,25,,,,,,,,,,,,,2019
59,55,34,5,,,,,,,,4.5,15,5,R93,12,71,159,64.5,176,67,189,69,193,68,,,,,2019
59,55,34,5,,,,,,,,20,,,R94,6,31,129,63.5,148,65,,,,,,,,,2019
59,55,34,5,,,,,,,,7.5,19,4,R95,15,83,285,79,215,70,199,67,245,73,198,68.5,,,2019
59,55,34,10,69,22,38,7,,,,,,,R96,10,44,188,70,179,71,188,67.5,181,69.5,,,,,2019
59,55,34,10,,,,4,35,3.5,,,,,R97,17,100,179,71,186,70,189,66.5,222,71.5,214,72.5,,,2019
59,55,34,10,,,,,,10.5,,,,,R98,5,26.5,251,77.5,,,,,,,,,,,2019
59,55,34,10,,,,,,8.5,,,,,R99,14.5,63,256,78.5,152,72,170,67,,,,,,,2019
59,55,34,10,,,,,,4,,,,,R100,9,38,179,64.5,203,70,,,,,,,,,2019
59,55,34,10,,,,,,18.5,,,,,R101,20,86,179,65.5,160,65,,,,,,,,,2019
59,55,34,13,,,,,,,,,,,R102,8,3,194,69,,,,,,,,,,,2019
59,55,34,3,22,6,18,33.5,,,,,,,R103,8,40,189,71.5,137,61.5,161,69,,,,,,,2019
59,55,34,3,,,,5,,,,,,,R104,7,80,167,66.5,163,66.5,131,61,181,70,,,,,2019
59,55,34,3,,,,5.5,,,,,,,R105,6.5,37.5,143,64.5,133,60,141,63,,,,,,,2019
59,55,34,3,,,,10,,,,,,,R106,7,73,169,69.5,156,65.5,135,64,142,67,,,,,2019
59,55,34,3,,,,5.5,,,,,,,R107,6.5,47,146,64,144,63.5,161,67.5,,,,,,,2019
59,55,34,3,,,,5.5,,,,,,,R108,11,40,191,71.5,198,72.5,165,72.5,,,,,,,2019
59,55,34,19,10,4.5,,,,,,,,,R109,6.5,2,177,66,,,,,,,,,,,2019
59,55,34,19,,2.5,,,,,,,,,R110,6,43,163,65.5,164,64.5,,,,,,,,,2019
59,55,34,60,81,5,55,7.5,11.5,7.5,,,,,R111,5.5,42,175,70,216,73,220,74,,,,,,,2019
