Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Arbre N° : 12,,Ligne N° : 11,,,"Variété : Nectarinier ""Spring Bright """,,,,Parcelle : 1306,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4 éme ss charpant,,5 éme ss charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
,,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Nbr de fruit par rameau,Poid total de fruit  par rameau
,,76,43,45,135,58.4,9,34.7,3,,,,,,,R95,7.6,103,196,74.44,193,71.03,166,69.64,,,,,,,,,3,555
,,76,43,45,135,58.4,63,33.5,5,,,,,,,R96,6.1,42,178,67.01,142,60.84,,,,,,,,,,,2,320
,,76,43,45,135,58.4,63,33.5,15,,,,,,,R97,6.4,44,162,66.31,249,67.37,,,,,,,,,,,2,411
,,76,43,45,135,58.4,63,33.5,34,23.2,3,,,,,R98,7.1,44,229,64.57,195,71.81,,,,,,,,,,,2,424
,,76,43,45,135,58.4,63,33.5,34,23.2,8,19,18,,,R99,6,44.2,,,,,,,,,,,,,,,0,0
,,76,43,45,135,58.4,63,33.5,34,23.2,8,19,28,,,R100,6.9,45,,,,,,,,,,,,,,,0,0
,,76,43,45,135,58.4,63,33.5,34,23.2,8,19,41,,,R101,8.5,39,196,71.9,193,71.96,154,67.11,,,,,,,,,3,543
,,76,43,45,144,113.8,34,,,,,,,,,R102,10.8,120,175,70.48,158,65.86,183,72.37,,,,,,,,,3,516
,,76,43,45,144,113.8,94,36.1,0,,,,,,,R103,10.6,107,122,61.62,86,61.94,,,,,,,,,,,2,208
,,76,43,45,144,113.8,94,36.1,4,,,,,,,R104,6?1,71,135,60.8,183,66.16,,,,,,,,,,,2,318
,,76,43,45,144,113.8,129,46.6,6,,,,,,,R105,7.6,66,219,76.67,124,60.92,135,65.48,,,,,,,,,3,478
,,76,43,45,144,113.8,129,46.6,11,20,3,,,,,R106,10.1,73,106,54.59,179,68.74,,,,,,,,,,,2,285
,,76,43,45,144,113.8,129,46.6,30,19.2,8,,,,,R107,12.3,93,206,72.72,171,65.44,220,75.13,,,,,,,,,3,597
,,76,43,45,144,113.8,129,46.6,30,19.2,10,,,,,R108,13.4,106,171,63.92,162,64.25,109,54.36,111,59.36,,,,,,,4,553
,,76,43,45,235,90,32,67.6,0,,,,,,,R109,6.7,94,165,67.81,171,65.25,169,67.73,,,,,,,,,3,505
,,76,43,45,235,90,32,67.6,16,46.7,14,,,,,R110,10.1,102,88,48.73,170,67.75,189,70.22,180,67.63,,,,,,,4,627
,,76,43,45,235,90,32,67.6,16,46.7,23,33.3,20,,,R111,7.3,48,142,65.61,162,68.29,,,,,,,,,,,2,304
,,76,43,45,235,90,32,67.6,16,46.7,23,33.3,28.5,,,R112,7.2,73,228,71.9,171,65.84,148,63.27,143,63.13,,,,,,,4,690
,,76,43,45,235,90,89,12.2,1.5,13.2,6,,,,,R113,5.9,37,238,71.48,171,69.28,,,,,,,,,,,2,409
,,76,43,45,235,90,106,10.3,0.5,,,,,,,R114,5.9,22,237,78.48,,,,,,,,,,,,,1,237
,,76,43,45,235,90,126,12.6,57,,,,,,,R115,6.3,36,130,58.4,,,,,,,,,,,,,1,130
,,76,43,45,235,90,152,31.6,2,,,,,,,R116,10.5,76,179,67.79,,,,,,,,,,,,,1,179
,,76,43,45,235,90,152,31.6,3,,,,,,,R117,14.7,98,192,70.03,192,69.77,,,,,,,,,,,2,384
,,76,43,45,235,90,157,30,3,15.7,2,,,,,R118,11.6,81,186,66.15,183,68.04,246,78.77,,,,,,,,,3,615
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,total,221,33477
