,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr6,DFr6,DChar5,LChar5,PFr5,DFr5
48,64.5,34,32.5,14.0,,,,,,,,,R49,15.0,59.0,202.0,74.0,184.0,69.0,,,,,,,,,,
49,64.5,34,32.5,7.0,,,,,,,,,R50,9.5,93.0,158.0,61.5,164.0,62.0,234.0,61.0,,,,,,,,
50,64.5,34,32.5,-27.0,13.0,12.0,,,,,,,R51,7.0,64.0,126.0,71.0,152.0,68.0,,,,,,,,,,
51,64.5,34,32.5,54.0,,,,,,,,,R52,5.5,39.0,154.0,61.0,,,,,,,,,,,,
52,64.5,34,32.5,15.0,45.0,41.0,35.0,2.5,,,,,R53,6.0,48.0,154.0,66.0,140.0,63.0,,,,,,,,,,
53,64.5,34,32.5,15.0,45.0,41.0,35.0,0.0,7.0,7.0,,,R54,10.0,55.0,186.0,70.0,200.0,72.0,174.0,74.0,,,,,,,,
54,64.5,34,32.5,15.0,45.0,41.0,35.0,0.0,,,,,R55,8.0,84.0,252.0,78.0,160.0,62.0,84.0,48.0,,,,,,,,
55,64.5,34,32.5,38.0,11.0,5.0,,,,,,,R56,7.0,60.0,192.0,69.0,,,,,,,,,,,,
56,64.5,34,32.5,-3.0,15.0,4.0,,,,,,,R57,9.5,64.0,154.0,63.0,148.0,65.5,168.0,65.0,,,,,,,,
57,64.5,34,32.5,25.0,48.0,3.0,,,,,,,R58,12.5,105.0,256.0,78.5,23.0,75.0,222.0,77.0,180.0,69.0,,,,,,
58,64.5,34,32.5,0.0,20.0,11.0,,,,,,,R59,5.0,18.0,186.0,70.0,,,,,,,,,,,,
59,64.5,34,32.5,0.0,20.0,10.0,,,,,,,R60,5.0,20.0,186.0,69.0,,,,,,,,,,,,
60,64.5,34,32.5,0.0,20.0,5.5,,,,,,,R61,5.5,37.0,184.0,69.0,188.0,69.5,,,,,,,,,,
61,64.5,34,32.5,0.0,20.0,19.0,,,,,,,R62,6.0,28.0,144.0,72.0,,,,,,,,,,,,
62,64.5,34,32.5,0.0,20.0,9.0,,,,,,,R63,9.0,34.5,216.0,63.0,140.0,63.5,,,,,,,,,,
63,64.5,34,32.5,0.0,20.0,60.0,,,,,,,R64,6.0,46.0,188.0,70.0,178.0,69.0,,,,,,,,,,
