Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,5ème ss charpante,Unnamed: 13,Rameaux,Unnamed: 15,Unnamed: 16,Remarque,Rameaux.1,Fruit 1,Unnamed: 20,Fruit 2,Unnamed: 22,Fruit 3,Unnamed: 24,Fruit 4,Unnamed: 26,Fruit 5,Unnamed: 28,Fruit 6,Unnamed: 30,Fruit 7,Unnamed: 32,Fruit 8,Unnamed: 34,6ème ss charpante,7 ème ss charpante ,Unnamed: 17,Unnamed: 19,Unnamed: 36,Unnamed: 38,Unnamed: 18,                  6ème ss charpante,Unnamed: 21,Unnamed: 23,Unnamed: 25,Unnamed: 27,Unnamed: 29,Unnamed: 31,Unnamed: 33,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,,,,,,,,,,,,,,,
,,,,,36,,,,,,,,,R107,5,33,,R107,200,65,140,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,10,13,,,,,,,R108,7,35,,R108,200,71.5,204,65,123,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,33,9,12,,,,,R109,6,39,,R109,170,67,162,60,120,61,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,53,40,5,32,12,38,2.5,,,,,R110,7,48,,R110,214,65,144,68,221,63,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,44,18,22,,,R111,9,20,,R111,190,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18,,,R112,9,42,,R112,186,67,130,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,9.5,,,R113,9,35,,R113,210,66.5,128,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71,7.5,39,22,,,,,,,R114,11,71,,R114,201,65,204,64.5,157,62.5,230,63,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9,11,10,,,,,R115,7,24,,R115,203,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,50,17,15,,,,,R116,6.5,8,,R116,199,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5,,,,,R117,6,20,,R117,194,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,8,,,,,R118,6,3,,R118,242,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7,,,,,R119,11,74.5,,R119,192,67.5,234,66.5,156,62.5,237,66.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,48,71,26,66,34,38,31,11,4,,,R120,9,42,,R120,210,66,201,64,150,62,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10,,,,,R121,22,94,,R121,198,63.5,202,68,190,63.5,160,64.5,202,67,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,19,,,,,R122,15,57,,R122,162,64,131,65,160,66,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23,35,9,28,18,,,R123,18,92,,R123,151,63.5,165,64.5,162,60,120,61,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,6,,,R124,18,72,,R124,215,64,212,67,210,67.5,230,68,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,,,R125,11,48,,R125,167,69,224,65,170,63.5,120,63,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,37,31,,,,R126,10,20,,R126,200,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9.5,,,,,R127,15,79,,R127,149,64,121,60,162,62,223,63,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,50,18,38,10,28,3.5,R128,13,69,,R128,134,63.5,162,64.5,214,65,171,63.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,39,3.5,11,2.5,,,R129,10,36,,R129,209,65,198,62,191,67,,,,,,,,,,,,,,,,,,,,,,,,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,,,,,,,,,,,,,,,
